date;TRIL;CSGS;BSET;FNHC;ADES;TRIB;OPOF;BLDR;IPAR;SBAC;ULBI;BCML;DOX;SNPS;BKYI
2005-09-22;8.1;17.54275718;9.36536382;9.090082965;7.108151036;6.996463863;17.26928228;22.5;9.927312984;14.44982872;10.29;11.25;23.43600345;18.58;19.2
2005-09-23;8.1;17.57717161;9.288472491;9.211644253;7.093057011;7.024827906;17.26928228;22.39;9.927312984;14.3405109;10.31;11.25;23.46262519;18.36;18.48
2005-09-26;8.1;17.86109068;9.252589871;8.860467199;7.187631105;6.96809982;17.40855069;22.98;10.19915094;14.4597667;10.67;11.5;23.85307734;18.71;18.96
2005-09-27;8.1;18.05897367;9.25771596;8.907741033;7.225460742;6.996463863;17.26347943;22.46;9.984817167;14.92685195;12.41;11.75;23.6134817;18.65;18.48
2005-09-28;8.1;18.04176646;9.180824631;9.06982275;7.372996328;7.062646629;17.52460769;22.8;10.05800431;14.75790622;12.59;11.6;23.9595643;18.61;18
2005-09-29;8.1;18.42032522;9.657550868;8.988781892;7.584842297;6.987009182;17.6174533;22.58;10.20992208;15.31443333;13.03;11.6;24.49199906;18.82;18
2005-09-30;8.1;18.67843347;9.54477692;9.110275645;7.452438566;6.996463863;17.91920151;22.33;10.31469296;15.33430929;12.92;11.6;24.60735992;18.9;18.48
2005-10-03;8.1;18.99676697;9.698559577;9.292685111;7.535663769;7.015373225;17.49559344;23.04;10.3199315;15.54300696;12.8;11.5;24.35889037;19;18
2005-10-04;8.85;19.29789326;9.872846588;8.982028487;7.569710442;6.996463863;17.12421103;23.35;10.14182101;15.05604574;12.78;11.5;23.87082517;19.18;18
2005-10-05;8.85;18.84190202;9.611416071;8.921247843;7.467570421;6.96809982;17.11840818;22.15;9.95323343;15.08585969;12.49;11.5;23.51586866;18.7;19.44
2005-10-06;8.85;18.84190202;9.324355111;8.839531644;7.221677778;6.911371735;17.26928228;21.18;9.717498954;15.21505349;12.41;11.5;23.50699475;18.51;18.48
2005-10-07;8.85;19.10861388;9.380742085;8.718645697;7.278422234;6.873553011;17.26928228;21.62;9.806554201;15.27468139;12.49;11.4;23.6134817;18.44;18.72
2005-10-10;8.85;18.95374893;9.247463783;8.745659316;7.225460742;6.608821946;17.26928228;21.15;9.691306235;15.16536357;12.36;11.4;23.45375127;18.45;18
2005-10-11;8.94;19.49577625;9.25771596;8.597084409;7.206545923;6.788460883;17.26928228;20.49;9.502718654;14.80759614;11.97;11.5;23.07217303;18.64;17.52
2005-10-12;8.94;19.38392934;9.303850757;8.637604838;7.391911147;6.835734288;17.26928228;19.12;9.429379039;14.36038686;12.13;11.5;23.01005564;18.57;17.28
2005-10-13;8.94;19.85712779;9.421750794;8.705138887;7.225460742;6.608821946;17.26928228;19.07;9.361277968;14.46970469;12.28;11.5;23.03667738;18.7;17.28
2005-10-14;8.94;20.04640717;9.452507325;8.745659316;7.225460742;6.523729818;17.23446518;19.41;9.40318632;14.94672792;12.34;11.5;23.37388606;18.83;16.56
2005-10-17;8.94;19.95176748;9.585785628;8.583577599;7.225460742;6.561548542;17.26928228;20.1;9.298415441;15.04610776;12.77;11.5;23.1964078;18.81;15.12
